Data Year,Fuel Type,ZIP,Number of Vehicles
2022,Battery Electric (BEV),95677,535
2022,Battery Electric (BEV),95676,1
2022,Battery Electric (BEV),95674,1
2022,Battery Electric (BEV),95673,76
2022,Battery Electric (BEV),95672,66
2022,Battery Electric (BEV),95670,641
2022,Battery Electric (BEV),95669,20
2022,Battery Electric (BEV),95668,6
2022,Battery Electric (BEV),95667,315
2022,Battery Electric (BEV),95666,17
2022,Battery Electric (BEV),95665,21
2022,Battery Electric (BEV),95664,17
2022,Battery Electric (BEV),95663,55
2022,Battery Electric (BEV),95662,303
2022,Battery Electric (BEV),95661,643
2022,Battery Electric (BEV),95660,107
2022,Battery Electric (BEV),95659,1
2022,Battery Electric (BEV),95658,119
2022,Battery Electric (BEV),95656,3
2022,Battery Electric (BEV),95655,79
2022,Battery Electric (BEV),95652,74
2022,Battery Electric (BEV),95651,12
2022,Battery Electric (BEV),95650,372
2022,Battery Electric (BEV),95648,1020
2022,Battery Electric (BEV),95646,3
2022,Battery Electric (BEV),95645,5
2022,Battery Electric (BEV),95642,39
2022,Battery Electric (BEV),95641,11
2022,Battery Electric (BEV),95640,49
2022,Battery Electric (BEV),95639,2
2022,Battery Electric (BEV),95638,21
2022,Battery Electric (BEV),95637,7
2022,Battery Electric (BEV),95636,2
2022,Battery Electric (BEV),95635,3
2022,Battery Electric (BEV),95634,7
2022,Battery Electric (BEV),95633,18
2022,Battery Electric (BEV),95632,197
2022,Battery Electric (BEV),95631,41
2022,Battery Electric (BEV),95630,2262
2022,Battery Electric (BEV),95629,13
2022,Battery Electric (BEV),95628,667
2022,Battery Electric (BEV),95627,17
2022,Battery Electric (BEV),95626,46
2022,Battery Electric (BEV),95625,2
2022,Battery Electric (BEV),95624,1207
2022,Battery Electric (BEV),95623,36
2022,Battery Electric (BEV),95621,228
2022,Battery Electric (BEV),95620,237
2022,Battery Electric (BEV),95619,15
2022,Battery Electric (BEV),95618,766
2022,Battery Electric (BEV),95617,9
2022,Battery Electric (BEV),95616,878
2022,Battery Electric (BEV),95615,5
2022,Battery Electric (BEV),95614,46
2022,Battery Electric (BEV),95613,6
2022,Battery Electric (BEV),95612,12
2022,Battery Electric (BEV),95610,283
2022,Battery Electric (BEV),95609,2
2022,Battery Electric (BEV),95608,734
2022,Battery Electric (BEV),95607,2
2022,Battery Electric (BEV),95606,2
2022,Battery Electric (BEV),95605,111
2022,Battery Electric (BEV),95604,6
2022,Battery Electric (BEV),95603,381
2022,Battery Electric (BEV),95602,256
2022,Battery Electric (BEV),95601,4
2022,Battery Electric (BEV),95589,9
2022,Battery Electric (BEV),95587,1
2022,Battery Electric (BEV),95585,1
2022,Battery Electric (BEV),95573,6
2022,Battery Electric (BEV),95571,2
2022,Battery Electric (BEV),95570,52
2022,Battery Electric (BEV),95567,5
2022,Battery Electric (BEV),95565,2
2022,Battery Electric (BEV),95564,3
2022,Battery Electric (BEV),95563,1
2022,Battery Electric (BEV),95562,12
2022,Battery Electric (BEV),95560,4
2022,Battery Electric (BEV),95558,3
2022,Battery Electric (BEV),95555,2
2022,Battery Electric (BEV),95554,1
2022,Battery Electric (BEV),95553,4
2022,Battery Electric (BEV),95551,6
2022,Battery Electric (BEV),95549,12
2022,Battery Electric (BEV),95548,1
2022,Battery Electric (BEV),95547,11
2022,Battery Electric (BEV),95546,1
2022,Battery Electric (BEV),95545,1
2022,Battery Electric (BEV),95543,6
2022,Battery Electric (BEV),95542,14
2022,Battery Electric (BEV),95540,68
2022,Battery Electric (BEV),95538,1
2022,Battery Electric (BEV),95537,1
2022,Battery Electric (BEV),95536,15
2022,Battery Electric (BEV),95531,43
2022,Battery Electric (BEV),95528,7
2022,Battery Electric (BEV),95527,2
2022,Battery Electric (BEV),95525,17
2022,Battery Electric (BEV),95524,41
2022,Battery Electric (BEV),95521,168
2022,Battery Electric (BEV),95519,161
2022,Battery Electric (BEV),95518,14
2022,Battery Electric (BEV),95503,161
2022,Battery Electric (BEV),95502,7
2022,Battery Electric (BEV),95501,124
2022,Battery Electric (BEV),95497,39
2022,Battery Electric (BEV),95494,1
2022,Battery Electric (BEV),95493,1
2022,Battery Electric (BEV),95492,427
2022,Battery Electric (BEV),95490,58
2022,Battery Electric (BEV),95488,3
2022,Battery Electric (BEV),95487,3
2022,Battery Electric (BEV),95486,4
2022,Battery Electric (BEV),95485,3
2022,Battery Electric (BEV),95482,222
2022,Battery Electric (BEV),95480,4
2022,Battery Electric (BEV),95476,811
2022,Battery Electric (BEV),95473,6
2022,Battery Electric (BEV),95472,889
2022,Battery Electric (BEV),95471,2
2022,Battery Electric (BEV),95470,44
2022,Battery Electric (BEV),95469,6
2022,Battery Electric (BEV),95468,18
