_id,Taxable Year,Zip Code,State,City,County,Returns,California AGI,Total Tax Liability
332,2022,91365,CA,Woodland Hills,Los Angeles,372,"47,405,637","3,097,426"
333,2022,91367,CA,Woodland Hills,Los Angeles,"21,792","3,324,834,517","172,107,703"
334,2022,91372,CA,Calabasas,Los Angeles,228,"33,659,874","1,928,325"
335,2022,91376,CA,Agoura Hills,Los Angeles,307,"115,335,932","8,923,566"
336,2022,91377,CA,Oak Park,Ventura,"6,531","1,111,413,904","62,125,410"
337,2022,91380,CA,Santa Clarita,Los Angeles,589,"57,561,717","2,465,797"
338,2022,91381,CA,Stevenson Ranch,Los Angeles,"9,661","1,561,796,861","82,900,335"
339,2022,91384,CA,Castaic,Los Angeles,"10,740","1,011,793,469","37,788,663"
340,2022,91385,CA,Valencia,Los Angeles,74,"8,047,039","410,472"
341,2022,91386,CA,Canyon Country,Los Angeles,276,"23,275,059","921,225"
342,2022,91387,CA,Canyon Country,Los Angeles,"20,465","1,935,682,630","77,362,041"
343,2022,91390,CA,Santa Clarita,Los Angeles,"8,676","1,010,411,314","45,163,002"
344,2022,91392,CA,Sylmar,Los Angeles,348,"23,231,932","702,292"
345,2022,91393,CA,North Hills,Los Angeles,75,"4,200,611","144,506"
346,2022,91394,CA,Granada Hills,Los Angeles,182,"15,563,088","656,382"
347,2022,91395,CA,Mission Hills,Los Angeles,84,"5,684,525","218,486"
348,2022,91396,CA,Winnetka,Los Angeles,166,"11,262,345","491,778"
349,2022,91401,CA,Van Nuys,Los Angeles,"17,520","1,418,748,885","58,674,620"
350,2022,91402,CA,Panorama City,Los Angeles,"28,255","1,322,972,579","29,995,103"
351,2022,91403,CA,Sherman Oaks,Los Angeles,"13,144","2,736,653,258","155,326,984"
352,2022,91404,CA,Van Nuys,Los Angeles,39,"2,576,658","68,790"
353,2022,91405,CA,Van Nuys,Los Angeles,"22,117","1,113,017,267","29,672,092"
354,2022,91406,CA,Van Nuys,Los Angeles,"23,303","1,622,902,443","56,900,327"
355,2022,91407,CA,Van Nuys,Los Angeles,18,"686,273","9,834"
356,2022,91408,CA,Van Nuys,Los Angeles,82,"5,377,134","156,154"
357,2022,91409,CA,Van Nuys,Los Angeles,333,"30,513,753","1,181,120"
358,2022,91411,CA,Van Nuys,Los Angeles,"10,526","793,777,317","33,075,693"
359,2022,91412,CA,Panorama City,Los Angeles,144,"5,715,975","107,618"
360,2022,91413,CA,Sherman Oaks,Los Angeles,618,"98,483,912","5,871,287"
361,2022,91416,CA,Encino,Los Angeles,305,"32,690,014","1,406,484"
362,2022,91423,CA,Sherman Oaks,Los Angeles,"16,477","2,808,244,885","164,329,390"
363,2022,91426,CA,Encino,Los Angeles,201,"42,818,893","3,182,832"
364,2022,91436,CA,Encino,Los Angeles,"9,046","5,972,155,404","377,180,372"
365,2022,91501,CA,Burbank,Los Angeles,"9,637","950,715,800","41,897,727"
366,2022,91502,CA,Burbank,Los Angeles,"5,214","425,248,082","16,494,699"
367,2022,91503,CA,Burbank,Los Angeles,199,"24,099,064","1,297,746"
368,2022,91504,CA,Burbank,Los Angeles,"11,964","1,332,624,370","67,662,987"
369,2022,91505,CA,Burbank,Los Angeles,"16,166","1,941,107,392","98,059,231"
370,2022,91506,CA,Burbank,Los Angeles,"9,625","1,011,861,424","47,794,357"
371,2022,91507,CA,Burbank,Los Angeles,104,"7,136,654","241,668"
372,2022,91508,CA,Burbank,Los Angeles,27,"1,889,135","74,494"
373,2022,91510,CA,Burbank,Los Angeles,537,"54,875,489","3,122,506"
374,2022,91601,CA,North Hollywood,Los Angeles,"20,136","1,436,456,041","59,287,736"
375,2022,91602,CA,North Hollywood,Los Angeles,"10,508","1,416,188,539","79,861,666"
376,2022,91603,CA,North Hollywood,Los Angeles,200,"11,752,988","494,037"
377,2022,91604,CA,Studio City,Los Angeles,"15,327","3,154,684,243","196,736,184"
378,2022,91605,CA,North Hollywood,Los Angeles,"23,182","1,161,871,970","29,619,759"
379,2022,91606,CA,North Hollywood,Los Angeles,"19,162","1,085,890,280","33,871,975"
380,2022,91607,CA,Valley Village,Los Angeles,"14,463","1,582,336,340","79,665,412"
381,2022,91609,CA,North Hollywood,Los Angeles,70,"3,220,067","70,801"
382,2022,91610,CA,Toluca Lake,Los Angeles,197,"18,283,959","1,064,090"
383,2022,91614,CA,Studio City,Los Angeles,229,"26,101,954","1,282,263"
384,2022,91615,CA,North Hollywood,Los Angeles,144,"9,757,473","302,008"
385,2022,91616,CA,North Hollywood,Los Angeles,27,"1,320,698","57,155"
386,2022,91617,CA,Valley Village,Los Angeles,103,"10,745,698","711,137"
387,2022,91701,CA,Rancho Cucamonga,San Bernardino,"18,336","1,644,282,058","62,346,269"
388,2022,91702,CA,Azusa,Los Angeles,"26,786","1,672,362,773","47,793,694"
389,2022,91706,CA,Baldwin Park,Los Angeles,"33,611","1,625,764,569","32,901,285"
390,2022,91708,CA,Chino,San Bernardino,"7,432","652,597,809","23,776,907"
391,2022,91709,CA,Chino Hills,San Bernardino,"36,590","3,962,843,451","171,193,649"
392,2022,91710,CA,Chino,San Bernardino,"36,484","2,656,191,648","87,323,737"
393,2022,91711,CA,Claremont,Los Angeles,"15,657","2,207,326,020","106,595,721"
