index,ZIP,County,ZIP Code Population,EV Count in Zip,ZEV Sales in County,County Population
331,91225,los angeles,,4.0,125196,"9,663,345"
332,91226,los angeles,,7.0,125196,"9,663,345"
333,91301,los angeles,24477.0,2203.0,125196,"9,663,345"
334,91302,los angeles,26205.0,3327.0,125196,"9,663,345"
335,91303,los angeles,29522.0,710.0,125196,"9,663,345"
336,91304,los angeles,53794.0,1986.0,125196,"9,663,345"
337,91304,ventura,53794.0,1986.0,9239,"829,590"
338,91305,los angeles,,1.0,125196,"9,663,345"
339,91306,los angeles,48177.0,1445.0,125196,"9,663,345"
340,91307,los angeles,25823.0,2002.0,125196,"9,663,345"
341,91307,ventura,25823.0,2002.0,9239,"829,590"
342,91308,los angeles,,6.0,125196,"9,663,345"
343,91309,los angeles,,1.0,125196,"9,663,345"
344,91310,los angeles,,1.0,125196,"9,663,345"
345,91311,los angeles,40557.0,2345.0,125196,"9,663,345"
346,91311,ventura,40557.0,2345.0,9239,"829,590"
347,91313,los angeles,,5.0,125196,"9,663,345"
348,91316,los angeles,29246.0,2104.0,125196,"9,663,345"
349,91319,ventura,,5.0,9239,"829,590"
350,91320,ventura,43628.0,2742.0,9239,"829,590"
351,91321,los angeles,32668.0,1080.0,125196,"9,663,345"
352,91322,los angeles,,2.0,125196,"9,663,345"
353,91324,los angeles,29510.0,1309.0,125196,"9,663,345"
354,91325,los angeles,35116.0,1604.0,125196,"9,663,345"
355,91326,los angeles,37068.0,4305.0,125196,"9,663,345"
356,91327,los angeles,,8.0,125196,"9,663,345"
357,91328,los angeles,,7.0,125196,"9,663,345"
358,91330,los angeles,2591.0,3.0,125196,"9,663,345"
359,91331,los angeles,98820.0,1183.0,125196,"9,663,345"
360,91333,los angeles,,1.0,125196,"9,663,345"
361,91334,los angeles,,2.0,125196,"9,663,345"
362,91335,los angeles,74802.0,2026.0,125196,"9,663,345"
363,91337,los angeles,,3.0,125196,"9,663,345"
364,91340,los angeles,33750.0,457.0,125196,"9,663,345"
365,91341,los angeles,,3.0,125196,"9,663,345"
366,91342,los angeles,93513.0,2282.0,125196,"9,663,345"
367,91343,los angeles,61607.0,1705.0,125196,"9,663,345"
368,91344,los angeles,53248.0,3093.0,125196,"9,663,345"
369,91345,los angeles,18282.0,516.0,125196,"9,663,345"
370,91346,los angeles,,1.0,125196,"9,663,345"
371,91350,los angeles,43621.0,3021.0,125196,"9,663,345"
372,91351,los angeles,33553.0,1156.0,125196,"9,663,345"
373,91352,los angeles,46153.0,1161.0,125196,"9,663,345"
374,91353,los angeles,,1.0,125196,"9,663,345"
375,91354,los angeles,33059.0,2655.0,125196,"9,663,345"
376,91355,los angeles,28777.0,1853.0,125196,"9,663,345"
377,91356,los angeles,30809.0,2442.0,125196,"9,663,345"
378,91357,los angeles,,12.0,125196,"9,663,345"
379,91358,ventura,,,9239,"829,590"
380,91359,ventura,,21.0,9239,"829,590"
381,91360,ventura,42315.0,2029.0,9239,"829,590"
382,91361,ventura,18728.0,1986.0,9239,"829,590"
383,91361,los angeles,18728.0,1986.0,125196,"9,663,345"
384,91362,ventura,36205.0,3044.0,9239,"829,590"
385,91362,los angeles,36205.0,3044.0,125196,"9,663,345"
386,91364,los angeles,28662.0,2549.0,125196,"9,663,345"
387,91365,los angeles,,8.0,125196,"9,663,345"
388,91367,los angeles,45427.0,3149.0,125196,"9,663,345"
389,91371,los angeles,0.0,,125196,"9,663,345"
390,91372,los angeles,,13.0,125196,"9,663,345"
391,91376,los angeles,,15.0,125196,"9,663,345"
392,91377,ventura,13656.0,1307.0,9239,"829,590"
393,91380,los angeles,,19.0,125196,"9,663,345"
