Data Year,Quarter,COUNTY,Total LDV Sales,ZEV Sales,ZEV Sales Share
2022,Q1,Tuolumne,356,25,0.0702247191011236
2022,Q1,Ventura,8440,1609,0.19063981042654
2022,Q1,Yolo,1459,254,0.174091843728581
2022,Q1,Yuba,472,42,0.0889830508474576
2022,Q2,Alameda,13075,3986,0.304856596558317
2022,Q2,Alpine,12,2,0.166666666666666
2022,Q2,Amador,220,18,0.0818181818181818
2022,Q2,Butte,1182,91,0.0769881556683587
2022,Q2,Calaveras,342,41,0.119883040935672
2022,Q2,Colusa,147,11,0.0748299319727891
2022,Q2,Contra Costa,9871,2474,0.250633167865464
2022,Q2,Del Norte,92,4,0.0434782608695652
2022,Q2,El Dorado,1604,311,0.193890274314214
2022,Q2,Fresno,6551,737,0.112501908105632
2022,Q2,Glenn,210,5,0.0238095238095238
2022,Q2,Humboldt,589,66,0.112054329371816
2022,Q2,Imperial,1994,61,0.0305917753259779
2022,Q2,Inyo,129,7,0.0542635658914728
2022,Q2,Kern,7016,502,0.0715507411630558
2022,Q2,Kings,939,67,0.0713525026624068
2022,Q2,Lake,297,13,0.0437710437710437
2022,Q2,Lassen,114,5,0.043859649122807
2022,Q2,Los Angeles,113817,20264,0.178040187318238
2022,Q2,Madera,906,87,0.0960264900662251
2022,Q2,Marin,2655,839,0.316007532956685
2022,Q2,Mariposa,102,8,0.0784313725490196
2022,Q2,Mendocino,489,51,0.104294478527607
2022,Q2,Merced,1521,144,0.0946745562130177
2022,Q2,Modoc,33,0,0.0
2022,Q2,Mono,100,12,0.12
2022,Q2,Monterey,2730,359,0.131501831501831
2022,Q2,Napa,1124,230,0.204626334519572
2022,Q2,Nevada,609,97,0.15927750410509
2022,Q2,Orange,39130,8615,0.220163557372859
2022,Q2,Out Of State,23067,727,0.0315168855941388
2022,Q2,Placer,4118,817,0.198397280233122
2022,Q2,Plumas,91,4,0.0439560439560439
2022,Q2,Riverside,25073,3257,0.129900689985243
2022,Q2,Sacramento,11284,1832,0.162353775257001
2022,Q2,San Benito,576,98,0.170138888888888
2022,Q2,San Bernardino,21135,2528,0.119612017979654
2022,Q2,San Diego,34544,6273,0.181594488188976
2022,Q2,San Francisco,5790,1684,0.290846286701209
2022,Q2,San Joaquin,5837,917,0.157101250642453
2022,Q2,San Luis Obispo,2075,384,0.185060240963855
2022,Q2,San Mateo,10911,2935,0.268994592612959
2022,Q2,Santa Barbara,3424,468,0.136682242990654
2022,Q2,Santa Clara,19149,6172,0.322314481173951
2022,Q2,Santa Cruz,1607,348,0.216552582451773
2022,Q2,Shasta,1136,91,0.0801056338028169
2022,Q2,Sierra,14,2,0.142857142857142
2022,Q2,Siskiyou,222,13,0.0585585585585585
2022,Q2,Solano,3366,536,0.1592394533571
2022,Q2,Sonoma,3806,621,0.163163426169206
2022,Q2,Stanislaus,3469,366,0.105505909484001
2022,Q2,Sutter,690,74,0.107246376811594
2022,Q2,Tehama,297,16,0.0538720538720538
2022,Q2,Trinity,42,2,0.0476190476190476
2022,Q2,Tulare,2884,185,0.0641470180305131
