Data Year,Fuel Type,ZIP,Number of Vehicles
2023,Battery Electric (BEV),91108,1370
2023,Battery Electric (BEV),91109,14
2023,Battery Electric (BEV),91114,3
2023,Battery Electric (BEV),91115,2
2023,Battery Electric (BEV),91116,3
2023,Battery Electric (BEV),91117,2
2023,Battery Electric (BEV),91118,9
2023,Battery Electric (BEV),91125,1
2023,Battery Electric (BEV),91126,1
2023,Battery Electric (BEV),91201,731
2023,Battery Electric (BEV),91202,908
2023,Battery Electric (BEV),91203,623
2023,Battery Electric (BEV),91204,547
2023,Battery Electric (BEV),91205,785
2023,Battery Electric (BEV),91206,1217
2023,Battery Electric (BEV),91207,532
2023,Battery Electric (BEV),91208,955
2023,Battery Electric (BEV),91209,5
2023,Battery Electric (BEV),91210,35
2023,Battery Electric (BEV),91214,1649
2023,Battery Electric (BEV),91221,4
2023,Battery Electric (BEV),91222,2
2023,Battery Electric (BEV),91224,1
2023,Battery Electric (BEV),91225,2
2023,Battery Electric (BEV),91226,3
2023,Battery Electric (BEV),91301,1665
2023,Battery Electric (BEV),91302,2738
2023,Battery Electric (BEV),91303,535
2023,Battery Electric (BEV),91304,1478
2023,Battery Electric (BEV),91305,1
2023,Battery Electric (BEV),91306,1060
2023,Battery Electric (BEV),91307,1597
2023,Battery Electric (BEV),91308,3
2023,Battery Electric (BEV),91309,1
2023,Battery Electric (BEV),91311,1730
2023,Battery Electric (BEV),91313,4
2023,Battery Electric (BEV),91316,1615
2023,Battery Electric (BEV),91319,4
2023,Battery Electric (BEV),91320,2068
2023,Battery Electric (BEV),91321,741
2023,Battery Electric (BEV),91324,949
2023,Battery Electric (BEV),91325,1158
2023,Battery Electric (BEV),91326,3488
2023,Battery Electric (BEV),91327,5
2023,Battery Electric (BEV),91328,4
2023,Battery Electric (BEV),91330,2
2023,Battery Electric (BEV),91331,762
2023,Battery Electric (BEV),91334,1
2023,Battery Electric (BEV),91335,1427
2023,Battery Electric (BEV),91337,2
2023,Battery Electric (BEV),91340,283
2023,Battery Electric (BEV),91341,2
2023,Battery Electric (BEV),91342,1575
2023,Battery Electric (BEV),91343,1175
2023,Battery Electric (BEV),91344,2293
2023,Battery Electric (BEV),91345,363
2023,Battery Electric (BEV),91346,1
2023,Battery Electric (BEV),91350,2249
2023,Battery Electric (BEV),91351,826
2023,Battery Electric (BEV),91352,795
2023,Battery Electric (BEV),91353,1
2023,Battery Electric (BEV),91354,1976
2023,Battery Electric (BEV),91355,1320
2023,Battery Electric (BEV),91356,1957
2023,Battery Electric (BEV),91357,10
2023,Battery Electric (BEV),91359,12
2023,Battery Electric (BEV),91360,1465
2023,Battery Electric (BEV),91361,1571
2023,Battery Electric (BEV),91362,2414
2023,Battery Electric (BEV),91364,1987
2023,Battery Electric (BEV),91365,6
2023,Battery Electric (BEV),91367,2437
2023,Battery Electric (BEV),91372,11
2023,Battery Electric (BEV),91376,10
2023,Battery Electric (BEV),91377,1037
2023,Battery Electric (BEV),91380,11
2023,Battery Electric (BEV),91381,1939
2023,Battery Electric (BEV),91384,725
2023,Battery Electric (BEV),91385,3
2023,Battery Electric (BEV),91387,1621
2023,Battery Electric (BEV),91390,701
2023,Battery Electric (BEV),91394,9
2023,Battery Electric (BEV),91395,1
2023,Battery Electric (BEV),91396,1
2023,Battery Electric (BEV),91401,1369
2023,Battery Electric (BEV),91402,705
2023,Battery Electric (BEV),91403,1649
2023,Battery Electric (BEV),91405,1098
2023,Battery Electric (BEV),91406,1261
2023,Battery Electric (BEV),91408,1
2023,Battery Electric (BEV),91409,9
2023,Battery Electric (BEV),91411,636
2023,Battery Electric (BEV),91412,1
2023,Battery Electric (BEV),91413,13
